ID,Layer,Domain,Sub-Domain,Entry Type,Name (Full),Acronym,Issuer / Steward,HQ / Region,Scope,Year Est./Published,Status,Why It Matters,Key Outputs / Standards,Official URL,Notes
SC-001,International,Supply Chain,Customs,Standards Body,World Customs Organization,WCO,WCO,"Brussels, Belgium",Global,1952,Active,Intergovernmental organization focused on enhancement of customs efficiency,"Harmonized System (HS), SAFE Framework, AEO, TIR",https://www.wcoomd.org,
SC-002,International,Supply Chain,Product Identification,Standards Body,GS1 — Global Standards One,GS1,GS1,"Brussels, Belgium",Global,1969,Active,"Develops and maintains global standards for supply chains; barcodes, RFID, EDI","GTIN, GS1-128, GLN, EPC/RFID, EDI (EANCOM, XML)",https://www.gs1.org,
SC-003,International,Supply Chain,Responsible Sourcing,Standard,OECD Due Diligence Guidance for Responsible Supply Chains,OECD DDG,OECD,"Paris, France",Global,2011,Active,Risk-based approach for responsible supply chains in minerals sector and beyond,OECD DDG 2018 (4th Ed); sector supplements for minerals,https://mneguidelines.oecd.org/due-diligence-guidance-for-responsible-supply-chains.htm,
SC-004,International,Supply Chain,Forest Products,Standard,Forest Stewardship Council Certification,FSC,FSC,"Bonn, Germany",Global,1993,Active,Sets standards for responsible management of forests,FSC Forest Management Standard; CoC Standard,https://fsc.org,
SC-005,International,Supply Chain,Marine Products,Standard,Marine Stewardship Council Certification,MSC,MSC,"London, UK",Global,1997,Active,Global standard for sustainable fishing; seafood traceability,MSC Fisheries Standard; Chain of Custody Standard,https://www.msc.org,
SC-006,International,Supply Chain,Conflict Minerals,Regulation,EU Conflict Minerals Regulation,EU CMR,EU,"Brussels, Belgium",EU/Global,2017,Active,"Due diligence obligations for importers of tin, tungsten, tantalum and gold",EU CMR (Regulation 2017/821),https://policy.trade.ec.europa.eu/development-and-sustainability/conflict-minerals-regulation_en,
SC-007,International,Supply Chain,Pharma Supply Chain,Standard,Good Distribution Practice (GDP) for Medicinal Products,GDP,EU / WHO,Global,Global,2013,Active,Ensures quality of medicinal products during distribution,EU GDP Guidelines 2013/C 68/01; WHO GDP Model Guidelines,https://www.ema.europa.eu/en/human-regulatory/research-development/compliance/good-distribution-practice,
KF-001,International,Governance,Anti-Corruption,Framework,United Nations Convention Against Corruption,UNCAC,UNODC,"Vienna, Austria",Global,2003,Active,Only globally legally binding anti-corruption instrument (190 state parties),UNCAC 2003; UNCAC Review Mechanism,https://www.unodc.org/unodc/en/corruption/uncac.html,
KF-002,International,Governance,Organized Crime,Treaty,UN Convention Against Transnational Organized Crime,UNTOC,UNODC,"Palermo, Italy",Global,2000,Active,Primary international treaty against transnational organized crime (190+ state parties),"UNTOC + Palermo Protocols (trafficking, migrant smuggling, firearms)",https://www.unodc.org/unodc/en/organized-crime/intro/UNTOC.html,
KF-003,International,Governance,Intellectual Property,Standards Body,World Intellectual Property Organization,WIPO,UN System,"Geneva, Switzerland",Global,1967,Active,UN specialized agency administering IP treaties; sets global IP norms,"PCT (patents), Madrid System (trademarks), Hague System (designs)",https://www.wipo.int,Treaty-based UN specialized agency
KF-004,International,Governance,Postal,Standards Body,Universal Postal Union,UPU,UN System,"Berne, Switzerland",Global,1874,Active,UN specialized agency for postal services; sets universal postal standards,Universal Postal Convention; UPU Standards,https://www.upu.int,Second oldest UN specialized agency
KF-005,International,Governance,Meteorology,Standards Body,World Meteorological Organization,WMO,UN System,"Geneva, Switzerland",Global,1950,Active,"UN specialized agency for meteorology, climatology; sets weather data standards",WMO Technical Regulations; Global Climate Observing System,https://wmo.int,Treaty-based UN specialized agency
KF-006,International,Governance,Education/Culture,Standards Body,"United Nations Educational, Scientific and Cultural Organization",UNESCO,UN System,"Paris, France",Global,1945,Active,"Sets international standards in education, science, culture and communication",UNESCO Conventions; World Heritage Convention; Convention on Cultural Diversity,https://www.unesco.org,Treaty-based UN specialized agency
KF-007,International,Governance,Migration,Standards Body,International Organization for Migration,IOM,UN System,"Geneva, Switzerland",Global,1951,Active,Leading intergovernmental organization for migration; sets migrant rights standards,IOM Migration Governance Framework; MCOF,https://www.iom.int,UN-related organization since 2016
KF-008,International,Governance,Police/Interpol,Standards Body,International Criminal Police Organization,INTERPOL,INTERPOL,"Lyon, France",Global,1923,Active,Facilitates worldwide police cooperation; maintains databases and standards for law enforcement,INTERPOL Red Notices; I-24/7; Fugitive notices system,https://www.interpol.int,
KF-009,International,Governance,Investment Arbitration,Standards Body,International Centre for Settlement of Investment Disputes,ICSID,World Bank Group,"Washington DC, USA",Global,1966,Active,Provides arbitration and conciliation facilities for investment disputes,ICSID Convention; Arbitration Rules,https://icsid.worldbank.org,
KF-010,International,Governance,Pandemic Preparedness,Treaty,Pandemic Agreement (WHO CA+),CA+,WHO,"Geneva, Switzerland",Global,2024,Active (negotiation),"New international treaty on pandemic prevention, preparedness and response",WHO Pandemic Agreement; IHR 2005 amendments,https://www.who.int/news-room/questions-and-answers/item/pandemic-prevention--preparedness-and-response-accord,Under negotiation/adoption 2024-2025
AF-001,National,National Standards Body,Africa,Standards Body,Algerian Institute of Standardization,IANOR,IANOR,"Algiers, Algeria",National,1998,Active,National NSB for Algeria; ISO & CEN liaison,Algerian National Standards (NA series),https://www.ianor.dz,ISO Full Member
AF-002,National,National Standards Body,Africa,Standards Body,Angola Institute of Standardization and Quality,IANORQ,IANORQ,"Luanda, Angola",National,2012,Active,National NSB for Angola,Angolan standards (NITA series),https://www.ianorq.gov.ao,ISO Correspondent Member
AF-003,National,National Standards Body,Africa,Standards Body,Botswana Bureau of Standards,BOBS,BOBS,"Gaborone, Botswana",National,1995,Active,"National NSB for Botswana; quality, metrology, testing",Botswana Standards (BOS series),https://www.bobs.org.bw,ISO Full Member
AF-004,National,National Standards Body,Africa,Standards Body,Burkina Faso National Standards Body,FASONORM,FASONORM,"Ouagadougou, Burkina Faso",National,2000,Active,National NSB for Burkina Faso,Burkina national standards,https://www.fasonorm.bf,ISO Correspondent Member
AF-005,National,National Standards Body,Africa,Standards Body,Burundi Bureau of Standards,BBN,BBN,"Bujumbura, Burundi",National,2009,Active,National NSB for Burundi,Burundian standards,https://www.bbn.bi,ISO Correspondent Member
AF-006,National,National Standards Body,Africa,Standards Body,Cameroon Agency for Standards,ANOR,ANOR,"Yaoundé, Cameroon",National,2009,Active,National NSB for Cameroon,NC standards series,https://www.anorcameroun.com,ISO Full Member
AF-007,National,National Standards Body,Africa,Standards Body,Comoros Standards Office,COSANOR,COSANOR,"Moroni, Comoros",National,2012,Active,National NSB for Comoros,Comorian standards,,ISO Correspondent Member
AF-008,National,National Standards Body,Africa,Standards Body,Democratic Republic of Congo National Standards Body,OCC,OCC,"Kinshasa, DRC",National,1987,Active,National NSB for DRC; quality control and standards,DRC national standards,https://www.occ.cd,ISO Full Member
AF-009,National,National Standards Body,Africa,Standards Body,Djibouti Standards Bureau,DBS,DBS,"Djibouti City, Djibouti",National,2007,Active,National NSB for Djibouti,Djiboutian standards,,ISO Correspondent Member
AF-010,National,National Standards Body,Africa,Standards Body,Egyptian Organization for Standardization and Quality,EOS,EOS,"Cairo, Egypt",National,1954,Active,Oldest African NSB; ISO full member; large standards portfolio,EOS standards series,https://www.eos.org.eg,ISO Full Member
AF-011,National,National Standards Body,Africa,Standards Body,Eritrean Standards Institute,ESI,ESI,"Asmara, Eritrea",National,2002,Active,National NSB for Eritrea,Eritrean standards,,ISO Correspondent Member
AF-012,National,National Standards Body,Africa,Standards Body,Ethiopian Standards Agency,ESA,ESA,"Addis Ababa, Ethiopia",National,2010,Active,National NSB for Ethiopia; successor to QSAE,Ethiopian standards,https://www.ethiopianstandards.gov.et,ISO Full Member
AF-013,National,National Standards Body,Africa,Standards Body,Gabon Normalization Agency,AGASA,AGASA,"Libreville, Gabon",National,2013,Active,National NSB for Gabon,Gabonese standards,,ISO Correspondent Member
AF-014,National,National Standards Body,Africa,Standards Body,Gambia Standards Bureau,TGSB,TGSB,"Banjul, Gambia",National,2011,Active,National NSB for Gambia,Gambian standards,https://www.gambia.gm/gsb,ISO Correspondent Member
AF-015,National,National Standards Body,Africa,Standards Body,Ghana Standards Authority,GSA,GSA,"Accra, Ghana",National,1967,Active,National NSB for Ghana; large standards and conformity infrastructure,GS standards series,https://www.gsa.gov.gh,ISO Full Member
AF-016,National,National Standards Body,Africa,Standards Body,Guinea National Standards Body,IGNM,IGNM,"Conakry, Guinea",National,2000,Active,National NSB for Guinea,Guinean standards,,ISO Correspondent Member
AF-017,National,National Standards Body,Africa,Standards Body,Kenya Bureau of Standards,KEBS,KEBS,"Nairobi, Kenya",National,1974,Active,"National NSB for Kenya; wide standards portfolio including food, building, manufacturing",KS standards series,https://www.kebs.org,ISO Full Member
AF-018,National,National Standards Body,Africa,Standards Body,Lesotho Bureau of Standards,LNBS,LNBS,"Maseru, Lesotho",National,2002,Active,National NSB for Lesotho,Lesotho standards,https://www.lnbs.org.ls,ISO Correspondent Member
AF-019,National,National Standards Body,Africa,Standards Body,Liberia Institute of Standards Technology,LIST,LIST,"Monrovia, Liberia",National,2012,Active,National NSB for Liberia,Liberian standards,,ISO Correspondent Member
AF-020,National,National Standards Body,Africa,Standards Body,Libya National Centre for Standardization and Metrology,LNCSM,LNCSM,"Tripoli, Libya",National,1974,Active,National NSB for Libya,Libyan standards,,ISO Full Member
AF-021,National,National Standards Body,Africa,Standards Body,Madagascar Bureau of Standards,BNM,BNM,"Antananarivo, Madagascar",National,1999,Active,National NSB for Madagascar,Malagasy standards,,ISO Correspondent Member
AF-022,National,National Standards Body,Africa,Standards Body,Malawi Bureau of Standards,MBS,MBS,"Blantyre, Malawi",National,1972,Active,National NSB for Malawi,Malawi standards (MS series),https://www.mbs.mw,ISO Full Member
AF-023,National,National Standards Body,Africa,Standards Body,Mali Agency for Standards,AMANORM,AMANORM,"Bamako, Mali",National,2007,Active,National NSB for Mali,Malian standards,,ISO Correspondent Member
AF-024,National,National Standards Body,Africa,Standards Body,Mauritania Standards Authority,MAURISTANDARDS,MAURISTANDARDS,"Nouakchott, Mauritania",National,2005,Active,National NSB for Mauritania,Mauritanian standards,,ISO Correspondent Member
AF-025,National,National Standards Body,Africa,Standards Body,Mauritius Standards Bureau,MSB,MSB,"Rose Hill, Mauritius",National,1986,Active,National NSB for Mauritius; ISO full member,MS standards series,https://www.msb.intnet.mu,ISO Full Member
AF-026,National,National Standards Body,Africa,Standards Body,Moroccan Service for Industrial Normalization,IMANOR,IMANOR,"Casablanca, Morocco",National,2010,Active,National NSB for Morocco; active CEN affiliate,NM standards series,https://www.imanor.gov.ma,ISO Full Member
AF-027,National,National Standards Body,Africa,Standards Body,Mozambique Institute for Standards and Quality,INNOQ,INNOQ,"Maputo, Mozambique",National,2009,Active,National NSB for Mozambique,Mozambican standards,https://www.innoq.gov.mz,ISO Correspondent Member
AF-028,National,National Standards Body,Africa,Standards Body,Namibia Standards Institution,NSI,NSI,"Windhoek, Namibia",National,1998,Active,National NSB for Namibia,Namibian standards (NS series),https://www.nsi.com.na,ISO Full Member
AF-029,National,National Standards Body,Africa,Standards Body,Niger National Standards Body,ONANOM,ONANOM,"Niamey, Niger",National,2005,Active,National NSB for Niger,Nigerien standards,,ISO Correspondent Member
AF-030,National,National Standards Body,Africa,Standards Body,Standards Organisation of Nigeria,SON,SON,"Abuja, Nigeria",National,1971,Active,National NSB for Nigeria; largest economy in Africa; wide standards portfolio,NIS standards series,https://www.son.gov.ng,ISO Full Member
AF-031,National,National Standards Body,Africa,Standards Body,Rwanda Standards Board,RSB,RSB,"Kigali, Rwanda",National,2002,Active,National NSB for Rwanda; SQMT system,Rwandan standards (RS series),https://www.rsb.gov.rw,ISO Full Member
AF-032,National,National Standards Body,Africa,Standards Body,Sao Tome and Principe Standards,ASSL,ASSL,"São Tomé, São Tomé & Príncipe",National,2009,Active,National NSB for São Tomé and Príncipe,ASSL standards,,ISO Correspondent Member
AF-033,National,National Standards Body,Africa,Standards Body,Senegal Standards Association,ASN,ASN,"Dakar, Senegal",National,2010,Active,National NSB for Senegal,Senegalese standards (NS series),https://www.asn.sn,ISO Full Member
AF-034,National,National Standards Body,Africa,Standards Body,Seychelles Bureau of Standards,SBS,SBS,"Victoria, Seychelles",National,2011,Active,National NSB for Seychelles,Seychelles standards,https://www.sbs.sc,ISO Full Member
AF-035,National,National Standards Body,Africa,Standards Body,Sierra Leone Standards Bureau,SLSB,SLSB,"Freetown, Sierra Leone",National,2009,Active,National NSB for Sierra Leone,Sierra Leone standards,,ISO Correspondent Member
AF-036,National,National Standards Body,Africa,Standards Body,Somali Bureau of Standards,SOBS,SOBS,"Mogadishu, Somalia",National,2014,Active,National NSB for Somalia,Somali standards,,ISO Correspondent Member
AF-037,National,National Standards Body,Africa,Standards Body,South African Bureau of Standards,SABS,SABS,"Pretoria, South Africa",National,1945,Active,National NSB for South Africa; one of Africa's oldest and largest,SANS standards series,https://www.sabs.co.za,ISO Full Member
AF-038,National,National Standards Body,Africa,Standards Body,South Sudan National Bureau of Standards,SSNBS,SSNBS,"Juba, South Sudan",National,2012,Active,National NSB for South Sudan,South Sudan standards,,ISO Correspondent Member
AF-039,National,National Standards Body,Africa,Standards Body,Tanzania Bureau of Standards,TBS,TBS,"Dar es Salaam, Tanzania",National,1977,Active,National NSB for Tanzania; large food and consumer standards portfolio,TZS standards series,https://www.tbs.go.tz,ISO Full Member
AF-040,National,National Standards Body,Africa,Standards Body,Togo National Standards Body,NORMALOG,NORMALOG,"Lomé, Togo",National,2011,Active,National NSB for Togo,Togolese standards,,ISO Correspondent Member
AF-041,National,National Standards Body,Africa,Standards Body,Tunisian National Institute for Standardization,INNORPI,INNORPI,"Tunis, Tunisia",National,1982,Active,National NSB for Tunisia; ISO full member; active in regional standards,NT standards series,https://www.innorpi.tn,ISO Full Member
AF-042,National,National Standards Body,Africa,Standards Body,Uganda National Bureau of Standards,UNBS,UNBS,"Kampala, Uganda",National,1983,Active,National NSB for Uganda,US standards series,https://www.unbs.go.ug,ISO Full Member
AF-043,National,National Standards Body,Africa,Standards Body,Zambia Bureau of Standards,ZABS,ZABS,"Lusaka, Zambia",National,1982,Active,National NSB for Zambia,ZS standards series,https://www.zabs.org.zm,ISO Full Member
AF-044,National,National Standards Body,Africa,Standards Body,Zimbabwe Standards Authority,SAZ,SAZ,"Harare, Zimbabwe",National,2002,Active,National NSB for Zimbabwe,ZWS standards series,https://www.saz.org.zw,ISO Full Member
AP-001,National,National Standards Body,Asia-Pacific,Standards Body,Afghan National Standards Authority,ANSA,ANSA,"Kabul, Afghanistan",National,2003,Active,National NSB for Afghanistan,Afghan standards,,ISO Correspondent Member
AP-002,National,National Standards Body,Asia-Pacific,Standards Body,Standards Australia,SA,SA,"Sydney, Australia",National,1922,Active,"National NSB for Australia; world-leading standards across industry, safety, health",AS/NZS standards series,https://www.standards.org.au,ISO Full Member
AP-003,National,National Standards Body,Asia-Pacific,Standards Body,"Azerbaijan Standardization, Metrology and Patent",AZSTAND,AZSTAND,"Baku, Azerbaijan",National,1992,Active,National NSB for Azerbaijan,AZS standards,https://www.azstand.gov.az,ISO Full Member
AP-004,National,National Standards Body,Asia-Pacific,Standards Body,Bangladesh Standards and Testing Institution,BSTI,BSTI,"Dhaka, Bangladesh",National,1985,Active,"National NSB for Bangladesh; covers food, textiles, industrial products",BDS standards series,https://www.bsti.gov.bd,ISO Full Member
AP-005,National,National Standards Body,Asia-Pacific,Standards Body,Bhutan Standards Bureau,BSB,BSB,"Thimphu, Bhutan",National,2001,Active,National NSB for Bhutan,Bhutan standards,https://www.bsb.gov.bt,ISO Correspondent Member
AP-006,National,National Standards Body,Asia-Pacific,Standards Body,Brunei Darussalam National Standards Body,CPRU,CPRU,"Bandar Seri Begawan, Brunei",National,2010,Active,National NSB for Brunei Darussalam,Brunei standards,,ISO Correspondent Member
AP-007,National,National Standards Body,Asia-Pacific,Standards Body,Cambodia Institute of Standards,CIS,CIS,"Phnom Penh, Cambodia",National,2007,Active,National NSB for Cambodia,Cambodian standards,,ISO Correspondent Member
AP-008,National,National Standards Body,Asia-Pacific,Standards Body,Standardization Administration of China,SAC,SAC,"Beijing, China",National,1978,Active,National NSB for China; second-largest standards body globally; GB/T series widely adopted,"GB, GB/T standards series; national mandatory standards",https://www.sac.gov.cn,ISO Full Member
AP-009,National,National Standards Body,Asia-Pacific,Standards Body,Bureau of Indian Standards,BIS,BIS,"New Delhi, India",National,1947,Active,"National NSB for India; 20,000+ IS standards; critical for one of world's largest economies",IS standards series,https://www.bis.gov.in,ISO Full Member
AP-010,National,National Standards Body,Asia-Pacific,Standards Body,National Standardization Agency of Indonesia,BSN,BSN,"Jakarta, Indonesia",National,1997,Active,National NSB for Indonesia; SNI standards mandatory for regulated products,SNI standards series,https://www.bsn.go.id,ISO Full Member
AP-011,National,National Standards Body,Asia-Pacific,Standards Body,Institute of Standards and Industrial Research of Iran,ISIRI,ISIRI,"Tehran, Iran",National,1966,Active,National NSB for Iran; wide industrial and food standards,Iranian National Standards (INSO series),https://www.isiri.gov.ir,ISO Full Member
AP-012,National,National Standards Body,Asia-Pacific,Standards Body,Japan Industrial Standards Committee,JISC,JISC,"Tokyo, Japan",National,1949,Active,"National NSB for Japan; JIS standards key for automotive, electronics, manufacturing export",JIS standards series,https://www.jisc.go.jp,ISO Full Member
AP-013,National,National Standards Body,Asia-Pacific,Standards Body,Kazakhstan Committee for Technical Regulation and Metrology,KAZMEMST,KAZMEMST,"Nur-Sultan, Kazakhstan",National,1994,Active,National NSB for Kazakhstan,KST standards,https://www.kazmemst.gov.kz,ISO Full Member
AP-014,National,National Standards Body,Asia-Pacific,Standards Body,Kyrgyzstan Department of Standardization and Metrology,KYRGYZST,KYRGYZST,"Bishkek, Kyrgyzstan",National,1993,Active,National NSB for Kyrgyzstan,KST standards,,ISO Full Member
AP-015,National,National Standards Body,Asia-Pacific,Standards Body,Lao PDR Department of Standards and Metrology,DISM,DISM,"Vientiane, Lao PDR",National,2009,Active,National NSB for Lao PDR,Lao standards (TCVN-adapted),,ISO Correspondent Member
AP-016,National,National Standards Body,Asia-Pacific,Standards Body,Department of Standards Malaysia,DSM,DSM,"Putrajaya, Malaysia",National,1996,Active,"National NSB for Malaysia; MS standards cover manufacturing, food, building",MS standards series,https://www.dsm.gov.my,ISO Full Member
AP-017,National,National Standards Body,Asia-Pacific,Standards Body,Maldives Bureau of Standards,MBS,MBS,"Malé, Maldives",National,2008,Active,National NSB for Maldives,Maldivian standards,https://www.mbs.mv,ISO Correspondent Member
AP-018,National,National Standards Body,Asia-Pacific,Standards Body,Mongolia Agency for Standardization and Metrology,MASM,MASM,"Ulaanbaatar, Mongolia",National,1993,Active,National NSB for Mongolia,MNS standards,https://www.masm.gov.mn,ISO Full Member
AP-019,National,National Standards Body,Asia-Pacific,Standards Body,Myanmar Department of Research and Innovation,MOST,MOST,"Naypyidaw, Myanmar",National,2001,Active,National NSB for Myanmar; developing standards for key export sectors,Myanmar standards,https://www.most.gov.mm,ISO Correspondent Member
AP-020,National,National Standards Body,Asia-Pacific,Standards Body,Nepal Bureau of Standards and Metrology,NBSM,NBSM,"Kathmandu, Nepal",National,1980,Active,"National NSB for Nepal; food, textiles, construction standards",NS standards series,https://www.nbsm.gov.np,ISO Full Member
AP-021,National,National Standards Body,Asia-Pacific,Standards Body,New Zealand Standards,SNZ,SNZ,"Wellington, New Zealand",National,1932,Active,National NSB for New Zealand; produces AS/NZS jointly with Standards Australia,AS/NZS standards series,https://www.standards.govt.nz,ISO Full Member
AP-022,National,National Standards Body,Asia-Pacific,Standards Body,Pakistan Standards and Quality Control Authority,PSQCA,PSQCA,"Karachi, Pakistan",National,2000,Active,National NSB for Pakistan; mandatory PS standards for consumer goods,PS standards series,https://www.psqca.com.pk,ISO Full Member
AP-023,National,National Standards Body,Asia-Pacific,Standards Body,Papua New Guinea National Institute of Standards,NISIT,NISIT,"Port Moresby, PNG",National,2008,Active,National NSB for Papua New Guinea,PNG standards,,ISO Correspondent Member
AP-024,National,National Standards Body,Asia-Pacific,Standards Body,Bureau of Philippine Standards,BPS,BPS,"Manila, Philippines",National,1998,Active,National NSB for Philippines; PNS standards for regulated and non-regulated products,PNS standards series,https://www.bps.dti.gov.ph,ISO Full Member
AP-025,National,National Standards Body,Asia-Pacific,Standards Body,Sri Lanka Standards Institution,SLSI,SLSI,"Colombo, Sri Lanka",National,1964,Active,"National NSB for Sri Lanka; SLS standards for food, industrial, construction",SLS standards series,https://www.slsi.lk,ISO Full Member
AP-026,National,National Standards Body,Asia-Pacific,Standards Body,Tajikistan Committee for Standardization,TAJIKST,TAJIKST,"Dushanbe, Tajikistan",National,1993,Active,National NSB for Tajikistan,TJS standards,,ISO Full Member
AP-027,National,National Standards Body,Asia-Pacific,Standards Body,Thai Industrial Standards Institute,TISI,TISI,"Bangkok, Thailand",National,1969,Active,"National NSB for Thailand; TIS standards; food export, manufacturing key",TIS standards series,https://www.tisi.go.th,ISO Full Member
AP-028,National,National Standards Body,Asia-Pacific,Standards Body,Turkmenistan Standards Body,TSTS,TSTS,"Ashgabat, Turkmenistan",National,1993,Active,National NSB for Turkmenistan,TST standards,,ISO Full Member
AP-029,National,National Standards Body,Asia-Pacific,Standards Body,Uzbekistan Agency for Technical Regulation,UZSTANDARD,UZSTANDARD,"Tashkent, Uzbekistan",National,1993,Active,National NSB for Uzbekistan,O'zDSt standards,https://www.uzstandard.uz,ISO Full Member
AP-030,National,National Standards Body,Asia-Pacific,Standards Body,Vietnam Directorate for Standards Metrology and Quality,STAMEQ,STAMEQ,"Hanoi, Vietnam",National,1962,Active,National NSB for Vietnam; TCVN standards; manufacturing export critical,TCVN standards series,https://www.tcvn.gov.vn,ISO Full Member
AP-031,National,National Standards Body,Asia-Pacific,Standards Body,Korean Agency for Technology and Standards,KATS,KATS,"Sejong, South Korea",National,1963,Active,National NSB for South Korea; KS standards; major export economy,KS standards series,https://www.kats.go.kr,ISO Full Member
AP-032,National,National Standards Body,Asia-Pacific,Standards Body,Hong Kong Innovation and Technology Commission,ITCHKSAR,ITCHKSAR,"Hong Kong SAR, China",National,1997,Active,Standards body for Hong Kong SAR,HKAS standards,https://www.itc.gov.hk,ISO Full Member
AP-033,National,National Standards Body,Asia-Pacific,Standards Body,Taiwan Bureau of Standards Metrology and Inspection,BSMI,BSMI,"Taipei, Taiwan",National,1947,Active,"Standards body for Chinese Taipei; CNS standards for industrial, consumer products",CNS standards series,https://www.bsmi.gov.tw,ISO Member (as Chinese Taipei)
AP-034,National,National Standards Body,Asia-Pacific,Standards Body,Fiji Bureau of Statistics and Standards,FBOSS,FBOSS,"Suva, Fiji",National,2009,Active,National NSB for Fiji,Fijian standards,,ISO Correspondent Member
AP-035,National,National Standards Body,Asia-Pacific,Standards Body,Timor-Leste National Standards Authority,ANTL,ANTL,"Dili, Timor-Leste",National,2021,Active,Newest national NSB in Southeast Asia (joined ISO 2021),Timorese standards,,ISO Subscriber Member
EU-001,National,National Standards Body,Europe,Standards Body,Austrian Standards International,ASI,ASI,"Vienna, Austria",National,1920,Active,National NSB for Austria; ÖNORM standards; CEN/CENELEC member,ÖNORM standards series,https://www.austrian-standards.at,ISO Full Member
EU-002,National,National Standards Body,Europe,Standards Body,Bureau voor Normalisatie / Bureau de Normalisation,NBN,NBN,"Brussels, Belgium",National,1919,Active,National NSB for Belgium; CEN member,NBN standards series,https://www.nbn.be,ISO Full Member
EU-003,National,National Standards Body,Europe,Standards Body,Institute for Standardization of Bosnia & Herzegovina,BAS,BAS,"Sarajevo, Bosnia & Herzegovina",National,2002,Active,National NSB for Bosnia & Herzegovina,BAS standards,https://www.bas.gov.ba,ISO Full Member
EU-004,National,National Standards Body,Europe,Standards Body,Bulgarian Institute for Standardization,BDS,BDS,"Sofia, Bulgaria",National,1952,Active,National NSB for Bulgaria; CEN/CENELEC member,BDS standards series,https://www.bds-bg.org,ISO Full Member
EU-005,National,National Standards Body,Europe,Standards Body,Croatian Standards Institute,HZN,HZN,"Zagreb, Croatia",National,1992,Active,National NSB for Croatia; CEN member,HRN standards,https://www.hzn.hr,ISO Full Member
EU-006,National,National Standards Body,Europe,Standards Body,Cyprus Organisation for Standardisation,CYS,CYS,"Nicosia, Cyprus",National,1993,Active,National NSB for Cyprus; CEN member,CYS standards,https://www.cys.org.cy,ISO Full Member
EU-007,National,National Standards Body,Europe,Standards Body,Czech Standards Institute,CSNI,CSNI,"Prague, Czech Republic",National,1990,Active,National NSB for Czech Republic; CEN member,ČSN standards,https://www.csni.cz,ISO Full Member
EU-008,National,National Standards Body,Europe,Standards Body,Danish Standards Foundation,DS,DS,"Charlottenlund, Denmark",National,1926,Active,National NSB for Denmark; CEN member,DS standards,https://www.ds.dk,ISO Full Member
EU-009,National,National Standards Body,Europe,Standards Body,Estonian Centre for Standardisation and Accreditation,EVS,EVS,"Tallinn, Estonia",National,1993,Active,National NSB for Estonia; CEN member,EVS standards,https://www.evs.ee,ISO Full Member
EU-010,National,National Standards Body,Europe,Standards Body,Finnish Standards Association,SFS,SFS,"Helsinki, Finland",National,1924,Active,National NSB for Finland; CEN member,SFS standards,https://www.sfs.fi,ISO Full Member
EU-011,National,National Standards Body,Europe,Standards Body,Association française de normalisation,AFNOR,AFNOR,"Saint-Denis, France",National,1926,Active,National NSB for France; major global standards contributor; CEN member,NF standards series,https://www.afnor.org,ISO Full Member
EU-012,National,National Standards Body,Europe,Standards Body,Georgian National Agency for Standards,GEOSTM,GEOSTM,"Tbilisi, Georgia",National,1992,Active,National NSB for Georgia,GOS standards,https://www.geostm.ge,ISO Full Member
EU-013,National,National Standards Body,Europe,Standards Body,Deutsches Institut für Normung,DIN,DIN,"Berlin, Germany",National,1917,Active,National NSB for Germany; one of world's most influential; DIN standards widely adopted globally,"DIN standards series; VDE, VDI standards",https://www.din.de,ISO Full Member
EU-014,National,National Standards Body,Europe,Standards Body,Hellenic Organisation for Standardisation,ELOT,ELOT,"Athens, Greece",National,1975,Active,National NSB for Greece; CEN member,ELOT standards,https://www.elot.gr,ISO Full Member
EU-015,National,National Standards Body,Europe,Standards Body,Hungarian Standards Institution,MSZT,MSZT,"Budapest, Hungary",National,1921,Active,National NSB for Hungary; CEN member,MSZ standards,https://www.mszt.hu,ISO Full Member
EU-016,National,National Standards Body,Europe,Standards Body,Icelandic Council for Standardization,IST,IST,"Reykjavik, Iceland",National,1945,Active,National NSB for Iceland; CEN member,IST standards,https://www.stadlar.is,ISO Full Member
EU-017,National,National Standards Body,Europe,Standards Body,National Standards Authority of Ireland,NSAI,NSAI,"Dublin, Ireland",National,1961,Active,National NSB for Ireland; CEN member,I.S. standards,https://www.nsai.ie,ISO Full Member
EU-018,National,National Standards Body,Europe,Standards Body,Ente Nazionale Italiano di Unificazione,UNI,UNI,"Milan, Italy",National,1921,Active,National NSB for Italy; major standards body; CEN member,UNI standards,https://www.uni.com,ISO Full Member
EU-019,National,National Standards Body,Europe,Standards Body,Institute for Standardization of Kosovo,BDK,BDK,"Pristina, Kosovo",National,2009,Active,National NSB for Kosovo,KDS standards,https://www.bdk-rks.org,ISO Correspondent Member
EU-020,National,National Standards Body,Europe,Standards Body,Latvian Standard Ltd,LVS,LVS,"Riga, Latvia",National,1993,Active,National NSB for Latvia; CEN member,LVS standards,https://www.lvs.lv,ISO Full Member
EU-021,National,National Standards Body,Europe,Standards Body,Luxembourg Institute for Standardisation,ILNAS,ILNAS,"Luxembourg City, Luxembourg",National,1952,Active,National NSB for Luxembourg; CEN member,ILNAS standards,https://www.ilnas.lu,ISO Full Member
EU-022,National,National Standards Body,Europe,Standards Body,Institute for Standardization of North Macedonia,ISRM,ISRM,"Skopje, North Macedonia",National,1992,Active,National NSB for North Macedonia,MKS standards,https://www.isrm.gov.mk,ISO Full Member
